pair.n,AOU.1,AOU.2,sp.1.english,sp.2.english,sp1sp2,species1species2,In.BBS,sp.1.sci,sp.2.sci,sp1.first.breeding.month,sp1.last.breeding.month,sp1.first.peak.breeding.month,sp1.last.peak.breeding.month,sp2.first.breeding.month,sp2.last.breeding.month,sp2.first.peak.breeding.month,sp2.last.peak.breeding.month,first_breeding_month,last_breeding_month
11,4430,6630,Scissor-tailed Flycatcher,Yellow-throated Warbler,44306630,Scissor-tailed FlycatcherYellow-throated Warbler,1,Tyrannus forficatus,Setophaga dominica,3,8,5,7,4,7,4,7,4,7
12,4430,6710,Scissor-tailed Flycatcher,Pine Warbler,44306710,Scissor-tailed FlycatcherPine Warbler,1,Tyrannus forficatus,Setophaga pinus,3,8,5,7,3,7,4,7,4,7
13,4430,6760,Scissor-tailed Flycatcher,Louisiana Waterthrush,44306760,Scissor-tailed FlycatcherLouisiana Waterthrush,1,Tyrannus forficatus,Parkesia motacilla,3,8,5,7,4,7,4,6,4,7
14,4430,6810,Scissor-tailed Flycatcher,Common Yellowthroat,44306810,Scissor-tailed FlycatcherCommon Yellowthroat,1,Tyrannus forficatus,Geothlypis trichas,3,8,5,7,5,7,5,7,5,7
15,4430,6830,Scissor-tailed Flycatcher,Yellow-breasted Chat,44306830,Scissor-tailed FlycatcherYellow-breasted Chat,1,Tyrannus forficatus,Icteria virens,3,8,5,7,5,8,5,7,5,7
16,4440,4470,Eastern Kingbird,Western Kingbird,44404470,Eastern KingbirdWestern Kingbird,1,Tyrannus tyrannus,Tyrannus verticalis,5,8,6,7,5,7,5,6,5,7
17,4440,4570,Eastern Kingbird,Say's Phoebe,44404570,Eastern KingbirdSay's Phoebe,1,Tyrannus tyrannus,Sayornis saya,5,8,6,7,4,8,5,7,5,7
18,4440,4610,Eastern Kingbird,Eastern Wood-Pewee,44404610,Eastern KingbirdEastern Wood-Pewee,1,Tyrannus tyrannus,Contopus virens,5,8,6,7,5,9,6,7,6,7
19,4440,4650,Eastern Kingbird,Acadian Flycatcher,44404650,Eastern KingbirdAcadian Flycatcher,1,Tyrannus tyrannus,Empidonax virescens,5,8,6,7,5,8,6,7,6,7
20,4440,4660,Eastern Kingbird,Willow Flycatcher,44404660,Eastern KingbirdWillow Flycatcher,1,Tyrannus tyrannus,Empidonax traillii,5,8,6,7,5,9,6,7,6,7
21,4440,4661,Eastern Kingbird,Alder Flycatcher,44404661,Eastern KingbirdAlder Flycatcher,1,Tyrannus tyrannus,Empidonax alnorum,5,8,6,7,6,8,6,7,6,7
22,4440,4670,Eastern Kingbird,Least Flycatcher,44404670,Eastern KingbirdLeast Flycatcher,1,Tyrannus tyrannus,Empidonax minimus,5,8,6,7,5,8,6,7,6,7
23,4440,6410,Eastern Kingbird,Blue-winged Warbler,44406410,Eastern KingbirdBlue-winged Warbler,1,Tyrannus tyrannus,Vermivora cyanoptera,5,8,6,7,5,6,5,6,5,6
24,4440,6420,Eastern Kingbird,Golden-winged Warbler,44406420,Eastern KingbirdGolden-winged Warbler,1,Tyrannus tyrannus,Vermivora chrysoptera,5,8,6,7,5,7,5,7,5,7
25,4440,6480,Eastern Kingbird,Northern Parula,44406480,Eastern KingbirdNorthern Parula,1,Tyrannus tyrannus,Setophaga americana,5,8,6,7,4,8,4,7,5,7
26,4440,6520,Eastern Kingbird,Yellow Warbler,44406520,Eastern KingbirdYellow Warbler,1,Tyrannus tyrannus,Setophaga petechia,5,8,6,7,5,8,6,7,6,7
27,4440,6550,Eastern Kingbird,(Myrtle Warbler) Yellow-rumped Warbler,44406550,Eastern Kingbird(Myrtle Warbler) Yellow-rumped Warbler,1,Tyrannus tyrannus,Setophaga coronata coronata,5,8,6,7,5,8,5,7,5,7
28,4440,6570,Eastern Kingbird,Magnolia Warbler,44406570,Eastern KingbirdMagnolia Warbler,1,Tyrannus tyrannus,Setophaga magnolia,5,8,6,7,6,8,6,8,6,8
29,4440,6590,Eastern Kingbird,Chestnut-sided Warbler,44406590,Eastern KingbirdChestnut-sided Warbler,1,Tyrannus tyrannus,Setophaga pensylvanica,5,8,6,7,5,9,5,8,5,8
30,4440,6620,Eastern Kingbird,Blackburnian Warbler,44406620,Eastern KingbirdBlackburnian Warbler,1,Tyrannus tyrannus,Setophaga fusca,5,8,6,7,5,7,6,7,6,7
31,4440,6630,Eastern Kingbird,Yellow-throated Warbler,44406630,Eastern KingbirdYellow-throated Warbler,1,Tyrannus tyrannus,Setophaga dominica,5,8,6,7,4,7,4,7,5,7
32,4440,6670,Eastern Kingbird,Black-throated Green Warbler,44406670,Eastern KingbirdBlack-throated Green Warbler,1,Tyrannus tyrannus,Setophaga virens,5,8,6,7,5,8,5,7,5,7
33,4440,6710,Eastern Kingbird,Pine Warbler,44406710,Eastern KingbirdPine Warbler,1,Tyrannus tyrannus,Setophaga pinus,5,8,6,7,3,7,4,7,5,7
34,4440,6730,Eastern Kingbird,Prairie Warbler,44406730,Eastern KingbirdPrairie Warbler,1,Tyrannus tyrannus,Setophaga discolor,5,8,6,7,5,7,5,7,5,7
35,4440,6770,Eastern Kingbird,Kentucky Warbler,44406770,Eastern KingbirdKentucky Warbler,1,Tyrannus tyrannus,Geothlypis formosa,5,8,6,7,4,8,6,8,6,8
36,4440,6810,Eastern Kingbird,Common Yellowthroat,44406810,Eastern KingbirdCommon Yellowthroat,1,Tyrannus tyrannus,Geothlypis trichas,5,8,6,7,5,7,5,7,5,7
37,4440,6840,Eastern Kingbird,Hooded Warbler,44406840,Eastern KingbirdHooded Warbler,1,Tyrannus tyrannus,Setophaga citrina,5,8,6,7,5,8,5,7,5,7
38,4440,6870,Eastern Kingbird,American Redstart,44406870,Eastern KingbirdAmerican Redstart,1,Tyrannus tyrannus,Setophaga ruticilla,5,8,6,7,5,7,5,7,5,7
39,4440,7480,Eastern Kingbird,Golden-crowned Kinglet,44407480,Eastern KingbirdGolden-crowned Kinglet,1,Tyrannus tyrannus,Regulus satrapa,5,8,6,7,5,8,5,8,5,8
40,4451,6650,Thick-billed Kingbird,Black-throated Gray Warbler,44516650,Thick-billed KingbirdBlack-throated Gray Warbler,1,Tyrannus crassirostris,Setophaga nigrescens,5,8,5,8,5,7,5,7,5,7
41,4451,7340,Thick-billed Kingbird,Bridled Titmouse,44517340,Thick-billed KingbirdBridled Titmouse,1,Tyrannus crassirostris,Baeolophus wollweberi,5,8,5,8,4,7,4,7,5,7
42,4451,7430,Thick-billed Kingbird,Bushtit,44517430,Thick-billed KingbirdBushtit,1,Tyrannus crassirostris,Psaltriparus minimus,5,8,5,8,3,8,4,7,5,8
43,4470,4480,Western Kingbird,Cassin's Kingbird,44704480,Western KingbirdCassin's Kingbird,1,Tyrannus verticalis,Tyrannus vociferans,5,7,5,6,4,8,5,7,5,7
44,4470,4510,Western Kingbird,Sulphur-bellied Flycatcher,44704510,Western KingbirdSulphur-bellied Flycatcher,1,Tyrannus verticalis,Myiodynastes luteiventris,5,7,5,6,5,7,5,7,5,7
45,4470,4520,Western Kingbird,Great Crested Flycatcher,44704520,Western KingbirdGreat Crested Flycatcher,1,Tyrannus verticalis,Myiarchus crinitus,5,7,5,6,5,7,5,7,5,7
46,4470,4530,Western Kingbird,Brown-crested Flycatcher,44704530,Western KingbirdBrown-crested Flycatcher,1,Tyrannus verticalis,Myiarchus tyrannulus,5,7,5,6,3,7,5,6,5,6
47,4470,4540,Western Kingbird,Ash-throated Flycatcher,44704540,Western KingbirdAsh-throated Flycatcher,1,Tyrannus verticalis,Myiarchus cinerascens,5,7,5,6,3,8,4,7,5,7
48,4470,4550,Western Kingbird,Dusky-capped Flycatcher,44704550,Western KingbirdDusky-capped Flycatcher,1,Tyrannus verticalis,Myiarchus tuberculifer,5,7,5,6,5,7,5,7,5,7
49,4470,4560,Western Kingbird,Eastern Phoebe,44704560,Western KingbirdEastern Phoebe,1,Tyrannus verticalis,Sayornis phoebe,5,7,5,6,4,8,4,7,5,7
50,4470,4570,Western Kingbird,Say's Phoebe,44704570,Western KingbirdSay's Phoebe,1,Tyrannus verticalis,Sayornis saya,5,7,5,6,4,8,5,7,5,7
51,4470,4580,Western Kingbird,Black Phoebe,44704580,Western KingbirdBlack Phoebe,1,Tyrannus verticalis,Sayornis nigricans,5,7,5,6,3,6,3,6,5,6
52,4470,4600,Western Kingbird,Greater Pewee,44704600,Western KingbirdGreater Pewee,1,Tyrannus verticalis,Contopus pertinax,5,7,5,6,5,7,5,7,5,7
53,4470,4610,Western Kingbird,Eastern Wood-Pewee,44704610,Western KingbirdEastern Wood-Pewee,1,Tyrannus verticalis,Contopus virens,5,7,5,6,5,9,6,7,5,7
54,4470,4620,Western Kingbird,Western Wood-Pewee,44704620,Western KingbirdWestern Wood-Pewee,1,Tyrannus verticalis,Contopus sordidulus,5,7,5,6,5,8,5,7,5,7
55,4470,4640,Western Kingbird,Cordilleran Flycatcher,44704640,Western KingbirdCordilleran Flycatcher,1,Tyrannus verticalis,Empidonax occidentalis,5,7,5,6,4,7,4,7,5,7
56,4470,4641,Western Kingbird,Pacific-slope Flycatcher,44704641,Western KingbirdPacific-slope Flycatcher,1,Tyrannus verticalis,Empidonax difficilis,5,7,5,6,4,7,4,7,5,7
57,4470,4670,Western Kingbird,Least Flycatcher,44704670,Western KingbirdLeast Flycatcher,1,Tyrannus verticalis,Empidonax minimus,5,7,5,6,5,8,6,7,5,7
58,4470,4680,Western Kingbird,Hammond's Flycatcher,44704680,Western KingbirdHammond's Flycatcher,1,Tyrannus verticalis,Empidonax hammondii,5,7,5,6,5,8,6,7,5,7
59,4470,4690,Western Kingbird,Dusky Flycatcher,44704690,Western KingbirdDusky Flycatcher,1,Tyrannus verticalis,Empidonax oberholseri,5,7,5,6,5,8,6,7,5,7
60,4470,4710,Western Kingbird,Vermilion Flycatcher,44704710,Western KingbirdVermilion Flycatcher,1,Tyrannus verticalis,Pyrocephalus rubinus,5,7,5,6,3,7,4,6,5,6
61,4470,6430,Western Kingbird,Lucy's Warbler,44706430,Western KingbirdLucy's Warbler,1,Tyrannus verticalis,Oreothlypis luciae,5,7,5,6,4,7,5,6,5,6
62,4470,6440,Western Kingbird,Virginia's Warbler,44706440,Western KingbirdVirginia's Warbler,1,Tyrannus verticalis,Oreothlypis virginiae,5,7,5,6,5,7,5,6,5,6
63,4470,6460,Western Kingbird,Orange-crowned Warbler,44706460,Western KingbirdOrange-crowned Warbler,1,Tyrannus verticalis,Oreothlypis celata,5,7,5,6,3,7,4,6,5,6
64,4470,6520,Western Kingbird,Yellow Warbler,44706520,Western KingbirdYellow Warbler,1,Tyrannus verticalis,Setophaga petechia,5,7,5,6,5,8,6,7,5,7
65,4470,6560,Western Kingbird,(Audubon's Warbler) Yellow-rumpedWarbler,44706560,Western Kingbird(Audubon's Warbler) Yellow-rumpedWarbler,1,Tyrannus verticalis,Setophaga coronata audoboni,5,7,5,6,5,8,5,8,5,7
66,4470,6640,Western Kingbird,Grace's Warbler,44706640,Western KingbirdGrace's Warbler,1,Tyrannus verticalis,Setophaga graciae,5,7,5,6,5,7,5,7,5,7
67,4470,6650,Western Kingbird,Black-throated Gray Warbler,44706650,Western KingbirdBlack-throated Gray Warbler,1,Tyrannus verticalis,Setophaga nigrescens,5,7,5,6,5,7,5,7,5,7
68,4470,6760,Western Kingbird,Louisiana Waterthrush,44706760,Western KingbirdLouisiana Waterthrush,1,Tyrannus verticalis,Parkesia motacilla,5,7,5,6,4,7,4,6,5,6
69,4470,6810,Western Kingbird,Common Yellowthroat,44706810,Western KingbirdCommon Yellowthroat,1,Tyrannus verticalis,Geothlypis trichas,5,7,5,6,5,7,5,7,5,7
70,4470,6830,Western Kingbird,Yellow-breasted Chat,44706830,Western KingbirdYellow-breasted Chat,1,Tyrannus verticalis,Icteria virens,5,7,5,6,5,8,5,7,5,7
71,4470,6870,Western Kingbird,American Redstart,44706870,Western KingbirdAmerican Redstart,1,Tyrannus verticalis,Setophaga ruticilla,5,7,5,6,5,7,5,7,5,7
72,4470,6880,Western Kingbird,Painted Redstart,44706880,Western KingbirdPainted Redstart,1,Tyrannus verticalis,Myioborus pictus,5,7,5,6,4,7,4,7,5,7
73,4470,6900,Western Kingbird,Red-faced Warbler,44706900,Western KingbirdRed-faced Warbler,1,Tyrannus verticalis,Cardellina rubrifrons,5,7,5,6,5,7,5,6,5,6
74,4470,7340,Western Kingbird,Bridled Titmouse,44707340,Western KingbirdBridled Titmouse,1,Tyrannus verticalis,Baeolophus wollweberi,5,7,5,6,4,7,4,7,5,7
75,4470,7430,Western Kingbird,Bushtit,44707430,Western KingbirdBushtit,1,Tyrannus verticalis,Psaltriparus minimus,5,7,5,6,3,8,4,7,5,7
76,4480,4510,Cassin's Kingbird,Sulphur-bellied Flycatcher,44804510,Cassin's KingbirdSulphur-bellied Flycatcher,1,Tyrannus vociferans,Myiodynastes luteiventris,4,8,5,7,5,7,5,7,5,7
77,4480,4530,Cassin's Kingbird,Brown-crested Flycatcher,44804530,Cassin's KingbirdBrown-crested Flycatcher,1,Tyrannus vociferans,Myiarchus tyrannulus,4,8,5,7,3,7,5,6,5,7
78,4480,4540,Cassin's Kingbird,Ash-throated Flycatcher,44804540,Cassin's KingbirdAsh-throated Flycatcher,1,Tyrannus vociferans,Myiarchus cinerascens,4,8,5,7,3,8,4,7,4,7
79,4480,4550,Cassin's Kingbird,Dusky-capped Flycatcher,44804550,Cassin's KingbirdDusky-capped Flycatcher,1,Tyrannus vociferans,Myiarchus tuberculifer,4,8,5,7,5,7,5,7,5,7
80,4480,4560,Cassin's Kingbird,Eastern Phoebe,44804560,Cassin's KingbirdEastern Phoebe,1,Tyrannus vociferans,Sayornis phoebe,4,8,5,7,4,8,4,7,4,7
81,4480,4570,Cassin's Kingbird,Say's Phoebe,44804570,Cassin's KingbirdSay's Phoebe,1,Tyrannus vociferans,Sayornis saya,4,8,5,7,4,8,5,7,5,7
82,4480,4580,Cassin's Kingbird,Black Phoebe,44804580,Cassin's KingbirdBlack Phoebe,1,Tyrannus vociferans,Sayornis nigricans,4,8,5,7,3,6,3,6,4,6
83,4480,4600,Cassin's Kingbird,Greater Pewee,44804600,Cassin's KingbirdGreater Pewee,1,Tyrannus vociferans,Contopus pertinax,4,8,5,7,5,7,5,7,5,7
84,4480,4620,Cassin's Kingbird,Western Wood-Pewee,44804620,Cassin's KingbirdWestern Wood-Pewee,1,Tyrannus vociferans,Contopus sordidulus,4,8,5,7,5,8,5,7,5,7
85,4480,4640,Cassin's Kingbird,Cordilleran Flycatcher,44804640,Cassin's KingbirdCordilleran Flycatcher,1,Tyrannus vociferans,Empidonax occidentalis,4,8,5,7,4,7,4,7,4,7
86,4480,4710,Cassin's Kingbird,Vermilion Flycatcher,44804710,Cassin's KingbirdVermilion Flycatcher,1,Tyrannus vociferans,Pyrocephalus rubinus,4,8,5,7,3,7,4,6,4,7
87,4480,6430,Cassin's Kingbird,Lucy's Warbler,44806430,Cassin's KingbirdLucy's Warbler,1,Tyrannus vociferans,Oreothlypis luciae,4,8,5,7,4,7,5,6,5,7
88,4480,6440,Cassin's Kingbird,Virginia's Warbler,44806440,Cassin's KingbirdVirginia's Warbler,1,Tyrannus vociferans,Oreothlypis virginiae,4,8,5,7,5,7,5,6,5,7
89,4480,6460,Cassin's Kingbird,Orange-crowned Warbler,44806460,Cassin's KingbirdOrange-crowned Warbler,1,Tyrannus vociferans,Oreothlypis celata,4,8,5,7,3,7,4,6,4,7
90,4480,6520,Cassin's Kingbird,Yellow Warbler,44806520,Cassin's KingbirdYellow Warbler,1,Tyrannus vociferans,Setophaga petechia,4,8,5,7,5,8,6,7,5,7
91,4480,6560,Cassin's Kingbird,(Audubon's Warbler) Yellow-rumpedWarbler,44806560,Cassin's Kingbird(Audubon's Warbler) Yellow-rumpedWarbler,1,Tyrannus vociferans,Setophaga coronata audoboni,4,8,5,7,5,8,5,8,5,8
92,4480,6640,Cassin's Kingbird,Grace's Warbler,44806640,Cassin's KingbirdGrace's Warbler,1,Tyrannus vociferans,Setophaga graciae,4,8,5,7,5,7,5,7,5,7
93,4480,6650,Cassin's Kingbird,Black-throated Gray Warbler,44806650,Cassin's KingbirdBlack-throated Gray Warbler,1,Tyrannus vociferans,Setophaga nigrescens,4,8,5,7,5,7,5,7,5,7
94,4480,6810,Cassin's Kingbird,Common Yellowthroat,44806810,Cassin's KingbirdCommon Yellowthroat,1,Tyrannus vociferans,Geothlypis trichas,4,8,5,7,5,7,5,7,5,7
95,4480,6830,Cassin's Kingbird,Yellow-breasted Chat,44806830,Cassin's KingbirdYellow-breasted Chat,1,Tyrannus vociferans,Icteria virens,4,8,5,7,5,8,5,7,5,7
96,4480,6880,Cassin's Kingbird,Painted Redstart,44806880,Cassin's KingbirdPainted Redstart,1,Tyrannus vociferans,Myioborus pictus,4,8,5,7,4,7,4,7,4,7
97,4480,6900,Cassin's Kingbird,Red-faced Warbler,44806900,Cassin's KingbirdRed-faced Warbler,1,Tyrannus vociferans,Cardellina rubrifrons,4,8,5,7,5,7,5,6,5,7
98,4480,7340,Cassin's Kingbird,Bridled Titmouse,44807340,Cassin's KingbirdBridled Titmouse,1,Tyrannus vociferans,Baeolophus wollweberi,4,8,5,7,4,7,4,7,4,7
99,4480,7430,Cassin's Kingbird,Bushtit,44807430,Cassin's KingbirdBushtit,1,Tyrannus vociferans,Psaltriparus minimus,4,8,5,7,3,8,4,7,4,7
100,4510,6650,Sulphur-bellied Flycatcher,Black-throated Gray Warbler,45106650,Sulphur-bellied FlycatcherBlack-throated Gray Warbler,1,Myiodynastes luteiventris,Setophaga nigrescens,5,7,5,7,5,7,5,7,5,7
101,4510,7340,Sulphur-bellied Flycatcher,Bridled Titmouse,45107340,Sulphur-bellied FlycatcherBridled Titmouse,1,Myiodynastes luteiventris,Baeolophus wollweberi,5,7,5,7,4,7,4,7,5,7
102,4510,7430,Sulphur-bellied Flycatcher,Bushtit,45107430,Sulphur-bellied FlycatcherBushtit,1,Myiodynastes luteiventris,Psaltriparus minimus,5,7,5,7,3,8,4,7,5,7
103,4520,4610,Great Crested Flycatcher,Eastern Wood-Pewee,45204610,Great Crested FlycatcherEastern Wood-Pewee,1,Myiarchus crinitus,Contopus virens,5,7,5,7,5,9,6,7,5,7
104,4520,4650,Great Crested Flycatcher,Acadian Flycatcher,45204650,Great Crested FlycatcherAcadian Flycatcher,1,Myiarchus crinitus,Empidonax virescens,5,7,5,7,5,8,6,7,5,7
105,4520,4660,Great Crested Flycatcher,Willow Flycatcher,45204660,Great Crested FlycatcherWillow Flycatcher,1,Myiarchus crinitus,Empidonax traillii,5,7,5,7,5,9,6,7,5,7
106,4520,4661,Great Crested Flycatcher,Alder Flycatcher,45204661,Great Crested FlycatcherAlder Flycatcher,1,Myiarchus crinitus,Empidonax alnorum,5,7,5,7,6,8,6,7,6,7
107,4520,4670,Great Crested Flycatcher,Least Flycatcher,45204670,Great Crested FlycatcherLeast Flycatcher,1,Myiarchus crinitus,Empidonax minimus,5,7,5,7,5,8,6,7,5,7
108,4520,6410,Great Crested Flycatcher,Blue-winged Warbler,45206410,Great Crested FlycatcherBlue-winged Warbler,1,Myiarchus crinitus,Vermivora cyanoptera,5,7,5,7,5,6,5,6,5,6
109,4520,6420,Great Crested Flycatcher,Golden-winged Warbler,45206420,Great Crested FlycatcherGolden-winged Warbler,1,Myiarchus crinitus,Vermivora chrysoptera,5,7,5,7,5,7,5,7,5,7
110,4520,6480,Great Crested Flycatcher,Northern Parula,45206480,Great Crested FlycatcherNorthern Parula,1,Myiarchus crinitus,Setophaga americana,5,7,5,7,4,8,4,7,5,7
111,4520,6520,Great Crested Flycatcher,Yellow Warbler,45206520,Great Crested FlycatcherYellow Warbler,1,Myiarchus crinitus,Setophaga petechia,5,7,5,7,5,8,6,7,5,7
112,4520,6550,Great Crested Flycatcher,(Myrtle Warbler) Yellow-rumped Warbler,45206550,Great Crested Flycatcher(Myrtle Warbler) Yellow-rumped Warbler,1,Myiarchus crinitus,Setophaga coronata coronata,5,7,5,7,5,8,5,7,5,7
113,4520,6570,Great Crested Flycatcher,Magnolia Warbler,45206570,Great Crested FlycatcherMagnolia Warbler,1,Myiarchus crinitus,Setophaga magnolia,5,7,5,7,6,8,6,8,6,7
114,4520,6590,Great Crested Flycatcher,Chestnut-sided Warbler,45206590,Great Crested FlycatcherChestnut-sided Warbler,1,Myiarchus crinitus,Setophaga pensylvanica,5,7,5,7,5,9,5,8,5,7
115,4520,6620,Great Crested Flycatcher,Blackburnian Warbler,45206620,Great Crested FlycatcherBlackburnian Warbler,1,Myiarchus crinitus,Setophaga fusca,5,7,5,7,5,7,6,7,5,7
116,4520,6630,Great Crested Flycatcher,Yellow-throated Warbler,45206630,Great Crested FlycatcherYellow-throated Warbler,1,Myiarchus crinitus,Setophaga dominica,5,7,5,7,4,7,4,7,5,7
117,4520,6670,Great Crested Flycatcher,Black-throated Green Warbler,45206670,Great Crested FlycatcherBlack-throated Green Warbler,1,Myiarchus crinitus,Setophaga virens,5,7,5,7,5,8,5,7,5,7
118,4520,6710,Great Crested Flycatcher,Pine Warbler,45206710,Great Crested FlycatcherPine Warbler,1,Myiarchus crinitus,Setophaga pinus,5,7,5,7,3,7,4,7,5,7
119,4520,6730,Great Crested Flycatcher,Prairie Warbler,45206730,Great Crested FlycatcherPrairie Warbler,1,Myiarchus crinitus,Setophaga discolor,5,7,5,7,5,7,5,7,5,7
120,4520,6770,Great Crested Flycatcher,Kentucky Warbler,45206770,Great Crested FlycatcherKentucky Warbler,1,Myiarchus crinitus,Geothlypis formosa,5,7,5,7,4,8,6,8,5,7
121,4520,6840,Great Crested Flycatcher,Hooded Warbler,45206840,Great Crested FlycatcherHooded Warbler,1,Myiarchus crinitus,Setophaga citrina,5,7,5,7,5,8,5,7,5,7
122,4520,6870,Great Crested Flycatcher,American Redstart,45206870,Great Crested FlycatcherAmerican Redstart,1,Myiarchus crinitus,Setophaga ruticilla,5,7,5,7,5,7,5,7,5,7
123,4520,7480,Great Crested Flycatcher,Golden-crowned Kinglet,45207480,Great Crested FlycatcherGolden-crowned Kinglet,1,Myiarchus crinitus,Regulus satrapa,5,7,5,7,5,8,5,8,5,7
124,4530,4540,Brown-crested Flycatcher,Ash-throated Flycatcher,45304540,Brown-crested FlycatcherAsh-throated Flycatcher,1,Myiarchus tyrannulus,Myiarchus cinerascens,3,7,5,6,3,8,4,7,4,7
125,4530,4570,Brown-crested Flycatcher,Say's Phoebe,45304570,Brown-crested FlycatcherSay's Phoebe,1,Myiarchus tyrannulus,Sayornis saya,3,7,5,6,4,8,5,7,5,7
126,4530,4580,Brown-crested Flycatcher,Black Phoebe,45304580,Brown-crested FlycatcherBlack Phoebe,1,Myiarchus tyrannulus,Sayornis nigricans,3,7,5,6,3,6,3,6,3,6
127,4530,4620,Brown-crested Flycatcher,Western Wood-Pewee,45304620,Brown-crested FlycatcherWestern Wood-Pewee,1,Myiarchus tyrannulus,Contopus sordidulus,3,7,5,6,5,8,5,7,5,7
128,4530,4640,Brown-crested Flycatcher,Cordilleran Flycatcher,45304640,Brown-crested FlycatcherCordilleran Flycatcher,1,Myiarchus tyrannulus,Empidonax occidentalis,3,7,5,6,4,7,4,7,4,7
129,4530,6430,Brown-crested Flycatcher,Lucy's Warbler,45306430,Brown-crested FlycatcherLucy's Warbler,1,Myiarchus tyrannulus,Oreothlypis luciae,3,7,5,6,4,7,5,6,5,6
130,4530,6440,Brown-crested Flycatcher,Virginia's Warbler,45306440,Brown-crested FlycatcherVirginia's Warbler,1,Myiarchus tyrannulus,Oreothlypis virginiae,3,7,5,6,5,7,5,6,5,6
131,4530,6460,Brown-crested Flycatcher,Orange-crowned Warbler,45306460,Brown-crested FlycatcherOrange-crowned Warbler,1,Myiarchus tyrannulus,Oreothlypis celata,3,7,5,6,3,7,4,6,4,6
132,4530,6520,Brown-crested Flycatcher,Yellow Warbler,45306520,Brown-crested FlycatcherYellow Warbler,1,Myiarchus tyrannulus,Setophaga petechia,3,7,5,6,5,8,6,7,5,7
133,4530,6640,Brown-crested Flycatcher,Grace's Warbler,45306640,Brown-crested FlycatcherGrace's Warbler,1,Myiarchus tyrannulus,Setophaga graciae,3,7,5,6,5,7,5,7,5,7
134,4530,6650,Brown-crested Flycatcher,Black-throated Gray Warbler,45306650,Brown-crested FlycatcherBlack-throated Gray Warbler,1,Myiarchus tyrannulus,Setophaga nigrescens,3,7,5,6,5,7,5,7,5,7
135,4530,6810,Brown-crested Flycatcher,Common Yellowthroat,45306810,Brown-crested FlycatcherCommon Yellowthroat,1,Myiarchus tyrannulus,Geothlypis trichas,3,7,5,6,5,7,5,7,5,7
136,4530,6830,Brown-crested Flycatcher,Yellow-breasted Chat,45306830,Brown-crested FlycatcherYellow-breasted Chat,1,Myiarchus tyrannulus,Icteria virens,3,7,5,6,5,8,5,7,5,7
137,4530,6880,Brown-crested Flycatcher,Painted Redstart,45306880,Brown-crested FlycatcherPainted Redstart,1,Myiarchus tyrannulus,Myioborus pictus,3,7,5,6,4,7,4,7,4,7
138,4530,6900,Brown-crested Flycatcher,Red-faced Warbler,45306900,Brown-crested FlycatcherRed-faced Warbler,1,Myiarchus tyrannulus,Cardellina rubrifrons,3,7,5,6,5,7,5,6,5,6
